iter	Passed	Remaining
0	126	125995
1	127	63807
2	129	43026
3	132	32994
4	134	26737
5	136	22547
6	140	19935
7	142	17633
8	143	15839
9	146	14510
10	148	13330
11	149	12342
12	153	11687
13	157	11087
14	159	10457
15	160	9898
16	162	9405
17	169	9241
18	171	8843
19	172	8468
20	174	8126
21	175	7806
22	177	7523
23	178	7266
24	180	7033
25	184	6911
26	186	6709
27	187	6523
28	189	6348
29	191	6184
30	192	6029
31	194	5883
32	199	5842
33	201	5732
34	203	5609
35	205	5506
36	207	5394
37	208	5288
38	212	5241
39	215	5160
40	216	5067
41	218	4984
42	220	4907
43	222	4828
44	223	4751
45	228	4731
46	229	4663
47	231	4593
48	233	4529
49	235	4466
50	236	4405
51	238	4345
52	240	4294
53	243	4265
54	245	4211
55	246	4158
56	248	4107
57	249	4057
58	251	4010
59	253	3963
60	258	3983
61	260	3937
62	261	3891
63	262	3845
64	264	3805
65	265	3763
66	267	3721
67	268	3680
68	272	3674
69	273	3634
70	275	3598
71	276	3562
72	277	3525
73	279	3492
74	280	3459
75	281	3426
76	283	3398
77	289	3419
78	290	3391
79	292	3363
80	294	3336
81	295	3309
82	296	3273
83	297	3248
84	299	3224
85	304	3233
86	305	3210
87	307	3187
88	309	3165
89	310	3142
90	312	3121
91	314	3100
92	319	3113
93	320	3092
94	322	3072
95	324	3052
96	325	3031
97	327	3012
98	328	2992
99	334	3012
100	337	3005
101	339	2988
102	341	2973
103	343	2958
104	344	2939
105	348	2941
106	350	2928
107	352	2912
108	354	2897
109	356	2882
110	358	2867
111	359	2851
112	363	2853
113	365	2836
114	366	2819
115	367	2801
116	368	2782
117	370	2765
118	371	2749
119	372	2733
120	374	2717
121	375	2699
122	381	2719
123	382	2705
124	384	2689
125	385	2674
126	386	2656
127	387	2642
128	389	2628
129	390	2614
130	395	2625
131	397	2610
132	398	2597
133	400	2586
134	401	2572
135	403	2561
136	405	2552
137	410	2561
138	412	2553
139	414	2543
140	415	2531
141	416	2515
142	417	2504
143	419	2493
144	421	2484
145	428	2509
146	430	2499
147	432	2488
148	433	2478
149	435	2469
150	437	2461
151	440	2459
152	442	2449
153	444	2442
154	446	2432
155	447	2422
156	450	2416
157	454	2422
158	456	2414
159	458	2405
160	458	2391
161	460	2382
162	462	2373
163	463	2364
164	465	2354
165	469	2360
166	477	2380
167	479	2374
168	481	2366
169	490	2394
170	492	2386
171	493	2377
172	495	2370
173	497	2361
174	501	2365
175	503	2357
176	505	2349
177	507	2341
178	508	2333
179	510	2325
180	512	2317
181	517	2327
182	520	2324
183	522	2317
184	524	2309
185	526	2304
186	532	2315
187	534	2310
188	537	2305
189	541	2309
190	545	2311
191	547	2303
192	549	2299
193	551	2292
194	553	2285
195	555	2278
196	557	2271
197	560	2272
198	564	2273
199	566	2265
200	569	2264
201	571	2258
202	576	2261
203	578	2256
204	580	2249
205	581	2242
206	583	2235
207	585	2227
208	586	2220
209	588	2214
210	591	2211
211	593	2204
212	594	2197
213	596	2189
214	597	2182
215	602	2186
216	610	2203
217	612	2198
218	614	2191
219	616	2184
220	617	2176
221	621	2177
222	625	2178
223	626	2171
224	628	2164
225	629	2156
226	630	2148
227	632	2143
228	636	2144
229	639	2139
230	641	2134
231	642	2127
232	644	2120
233	645	2114
234	647	2106
235	648	2099
236	658	2121
237	660	2113
238	661	2105
239	662	2098
240	663	2091
241	671	2104
242	673	2097
